Search Query,Title,Material,Weight Value,Net Quantity,Link,img_url
spoon,"Frenchware Cutlery (Set of 12, Stainless Steel Spoons - 6 and Forks - 6), 100% Food Grade, Non Toxic, Anti-Rust, Dishwasher Safe, Perfect Gifting Set for All Occasions",Stainless Steel,0.35,12,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODc4OTU5NDc4MDgyMDQ4OjE3NTY5MTM1ODI6c3BfYXRmOjMwMDUzMDQzMTE0MTIzMjo6MDo6&url=%2FFrenchware-Stainless-Anti-Rust-Dishwasher-Occasions%2Fdp%2FB0BFHVF69H%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.zNBSuu9ohZulGDufn6ndi7k68xSxLd4F9j9ADu1EFagAfEi0iNXwERcHNRTHY8OVDNP-oY1V7Z37FLspYopnjFOECp54E8g9ARE33zYuNjfrPW9-7PT7qI_gqsODxMD7RpA5-SWUxIY3Ye14z8T2P0py867Joj9ZQzdeGD0gy9j-6IVxixvNhmqoh3nWQUTEL6Pa_LkOkkrpnx8Jm6SaYN20nBe-GukX9HphuGTME8ecQO9WsaiHhqNffMj9rfUKsU9Ez-fIo88SiH_3GjO-unGQoupAxQts8K6y8P6b79Y.FQqSzfnQwX_jDQwCsrLPsL8oYT2os_GUDQHEQxt7Q8M%26dib_tag%3Dse%26keywords%3Dspoon%26qid%3D1756913582%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=e1eHyyIAOI&sp_cr=ZAZ , https://m.media-amazon.com/images/I/51vhje1ohXL._SX300_SY300_QL70_FMwebp_.jpg
spoon,"Kodenipr Club Stainless Steel Dinning, Dinner Spoons, Table Spoon Set of 12, Length 16cm (Medium Spoon)",Stainless Steel,0.035,12,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODc4OTU5NDc4MDgyMDQ4OjE3NTY5MTM1ODI6c3BfYXRmOjIwMDI0MTAxODEyNzA4OjowOjo&url=%2FKodenipr-Stainless-Medium-Dinner-Length%2Fdp%2FB07VG2NPWK%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.zNBSuu9ohZulGDufn6ndi7k68xSxLd4F9j9ADu1EFagAfEi0iNXwERcHNRTHY8OVDNP-oY1V7Z37FLspYopnjFOECp54E8g9ARE33zYuNjfrPW9-7PT7qI_gqsODxMD7RpA5-SWUxIY3Ye14z8T2P0py867Joj9ZQzdeGD0gy9j-6IVxixvNhmqoh3nWQUTEL6Pa_LkOkkrpnx8Jm6SaYN20nBe-GukX9HphuGTME8ecQO9WsaiHhqNffMj9rfUKsU9Ez-fIo88SiH_3GjO-unGQoupAxQts8K6y8P6b79Y.FQqSzfnQwX_jDQwCsrLPsL8oYT2os_GUDQHEQxt7Q8M%26dib_tag%3Dse%26keywords%3Dspoon%26qid%3D1756913582%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=l7XZSvuLX7&sp_cr=ZAZ , https://m.media-amazon.com/images/I/61Tn04AdleL._SX679_.jpg
spoon,Sumeet Stainless Steel Dessert/Table Spoon Set of 12 Pc – (18.5cm L) (1.6mm Thick),Stainless Steel,0.45,12,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODc4OTU5NDc4MDgyMDQ4OjE3NTY5MTM1ODI6c3BfYXRmOjMwMDAwNjg2Mjk2NTgzMjo6MDo6&url=%2FSumeet-Stainless-Premium-Quality-Dessert%2Fdp%2FB07R955R5K%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.zNBSuu9ohZulGDufn6ndi7k68xSxLd4F9j9ADu1EFagAfEi0iNXwERcHNRTHY8OVDNP-oY1V7Z37FLspYopnjFOECp54E8g9ARE33zYuNjfrPW9-7PT7qI_gqsODxMD7RpA5-SWUxIY3Ye14z8T2P0py867Joj9ZQzdeGD0gy9j-6IVxixvNhmqoh3nWQUTEL6Pa_LkOkkrpnx8Jm6SaYN20nBe-GukX9HphuGTME8ecQO9WsaiHhqNffMj9rfUKsU9Ez-fIo88SiH_3GjO-unGQoupAxQts8K6y8P6b79Y.FQqSzfnQwX_jDQwCsrLPsL8oYT2os_GUDQHEQxt7Q8M%26dib_tag%3Dse%26keywords%3Dspoon%26qid%3D1756913582%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=r4ryA1bPFq&sp_cr=ZAZ , https://m.media-amazon.com/images/I/41F6mTjAFEL._SX300_SY300_QL70_FMwebp_.jpg
spoon,"Parage 12 Pieces Stainless Steel Table Spoons Set with Round Edge, 18.5 cm, Tableware, Set of 12, Silver",Stainless Steel,0.4,1,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODc4OTU5NDc4MDgyMDQ4OjE3NTY5MTM1ODI6c3BfYXRmOjIwMDczODIxNTk2ODA1OjowOjo&url=%2FParage-Stainless-Spoons-Tableware-Silver%2Fdp%2FB08BFB5GCX%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.zNBSuu9ohZulGDufn6ndi7k68xSxLd4F9j9ADu1EFagAfEi0iNXwERcHNRTHY8OVDNP-oY1V7Z37FLspYopnjFOECp54E8g9ARE33zYuNjfrPW9-7PT7qI_gqsODxMD7RpA5-SWUxIY3Ye14z8T2P0py867Joj9ZQzdeGD0gy9j-6IVxixvNhmqoh3nWQUTEL6Pa_LkOkkrpnx8Jm6SaYN20nBe-GukX9HphuGTME8ecQO9WsaiHhqNffMj9rfUKsU9Ez-fIo88SiH_3GjO-unGQoupAxQts8K6y8P6b79Y.FQqSzfnQwX_jDQwCsrLPsL8oYT2os_GUDQHEQxt7Q8M%26dib_tag%3Dse%26keywords%3Dspoon%26qid%3D1756913582%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=yCZNMBEaKJ&sp_cr=ZAZ , https://m.media-amazon.com/images/I/31pFQz9yAUL._SY300_SX300_QL70_FMwebp_.jpg
spoon,Kanshita's Rasoiware Stainless Steel Tea Spoon Set | Pack of 6 | Durable & Food-Grade Cutlery,Stainless Steel,0.35,6,https://www.amazon.in/Kanshitas-Rasoiware-Stainless-Tea-Spoon/dp/B09GRXLDBR/ref=sr_1_5?dib=eyJ2IjoiMSJ9.zNBSuu9ohZulGDufn6ndi7k68xSxLd4F9j9ADu1EFagAfEi0iNXwERcHNRTHY8OVDNP-oY1V7Z37FLspYopnjFOECp54E8g9ARE33zYuNjfrPW9-7PT7qI_gqsODxMD7RpA5-SWUxIY3Ye14z8T2P0py867Joj9ZQzdeGD0gy9j-6IVxixvNhmqoh3nWQUTEL6Pa_LkOkkrpnx8Jm6SaYN20nBe-GukX9HphuGTME8ecQO9WsaiHhqNffMj9rfUKsU9Ez-fIo88SiH_3GjO-unGQoupAxQts8K6y8P6b79Y.FQqSzfnQwX_jDQwCsrLPsL8oYT2os_GUDQHEQxt7Q8M&dib_tag=se&keywords=spoon&qid=1756913582&sr=8-5 , https://m.media-amazon.com/images/I/31jB9Ig2UbL._SY300_SX300_QL70_FMwebp_.jpg
spoon,"Parage Stainless Steel Spoons Set of 12, Dinner Spoon Length 16cm, Food Grade Silverware for Home & Kitchen- Mirror Polished, 12 Silver Spoons",Stainless Steel,0.4,12,https://www.amazon.in/Parage-Stainless-Dinner-Spoons-Length/dp/B08SHMS8L6/ref=sr_1_6?dib=eyJ2IjoiMSJ9.zNBSuu9ohZulGDufn6ndi7k68xSxLd4F9j9ADu1EFagAfEi0iNXwERcHNRTHY8OVDNP-oY1V7Z37FLspYopnjFOECp54E8g9ARE33zYuNjfrPW9-7PT7qI_gqsODxMD7RpA5-SWUxIY3Ye14z8T2P0py867Joj9ZQzdeGD0gy9j-6IVxixvNhmqoh3nWQUTEL6Pa_LkOkkrpnx8Jm6SaYN20nBe-GukX9HphuGTME8ecQO9WsaiHhqNffMj9rfUKsU9Ez-fIo88SiH_3GjO-unGQoupAxQts8K6y8P6b79Y.FQqSzfnQwX_jDQwCsrLPsL8oYT2os_GUDQHEQxt7Q8M&dib_tag=se&keywords=spoon&qid=1756913582&sr=8-6 , https://m.media-amazon.com/images/I/51aHL1xvlGL._SX300_SY300_QL70_FMwebp_.jpg
spoon,"Parage 24 Pieces Lily Cutlery Set Stainless Steel with Stand (Contains 6 Dinner Spoons, 6 Tea Spoon, 6 Dinner Fork, 6 Soup Spoons, 1 Stand) Spoon Set for Dining Table Stylish, Mirror Polished",Stainless Steel,0.7,25,https://www.amazon.in/Parag-Stainless-Steel-Cutlery-Silver/dp/B07L9QK9SF/ref=sr_1_7?dib=eyJ2IjoiMSJ9.zNBSuu9ohZulGDufn6ndi7k68xSxLd4F9j9ADu1EFagAfEi0iNXwERcHNRTHY8OVDNP-oY1V7Z37FLspYopnjFOECp54E8g9ARE33zYuNjfrPW9-7PT7qI_gqsODxMD7RpA5-SWUxIY3Ye14z8T2P0py867Joj9ZQzdeGD0gy9j-6IVxixvNhmqoh3nWQUTEL6Pa_LkOkkrpnx8Jm6SaYN20nBe-GukX9HphuGTME8ecQO9WsaiHhqNffMj9rfUKsU9Ez-fIo88SiH_3GjO-unGQoupAxQts8K6y8P6b79Y.FQqSzfnQwX_jDQwCsrLPsL8oYT2os_GUDQHEQxt7Q8M&dib_tag=se&keywords=spoon&qid=1756913582&sr=8-7 , https://m.media-amazon.com/images/I/41BRD+mS9iL._SY300_SX300_.jpg
spoon,"Frenchware Cutlery (Set of 6, Stainless Steel Sliver Spoons Set), 100% Food Grade, Non Toxic, Anti-Rust, Dishwasher Safe, Perfect Gifting Set for All Occasions",Stainless Steel,0.21,6,https://www.amazon.in/Frenchware-Cutlery-Set-Stainless-Dishwasher/dp/B0F7FLT7L4/ref=sr_1_8?dib=eyJ2IjoiMSJ9.zNBSuu9ohZulGDufn6ndi7k68xSxLd4F9j9ADu1EFagAfEi0iNXwERcHNRTHY8OVDNP-oY1V7Z37FLspYopnjFOECp54E8g9ARE33zYuNjfrPW9-7PT7qI_gqsODxMD7RpA5-SWUxIY3Ye14z8T2P0py867Joj9ZQzdeGD0gy9j-6IVxixvNhmqoh3nWQUTEL6Pa_LkOkkrpnx8Jm6SaYN20nBe-GukX9HphuGTME8ecQO9WsaiHhqNffMj9rfUKsU9Ez-fIo88SiH_3GjO-unGQoupAxQts8K6y8P6b79Y.FQqSzfnQwX_jDQwCsrLPsL8oYT2os_GUDQHEQxt7Q8M&dib_tag=se&keywords=spoon&qid=1756913582&sr=8-8 , https://m.media-amazon.com/images/I/61LEJqg0DxL._SX679_.jpg
spoon,"HASTHIP® Golden Spoon Set/Coffee Spoon/Dessert Spoon/Cutlery Kitchen Tableware/Stainless Steel Gold Flower Shape Coffee Spoon with Package Bag, 18cm, 4 Pcs Different Coffee Spoon",Stainless Steel,0.0786,1,https://www.amazon.in/HASTHIP%C2%AE-Dessert-Tableware-Stainless-Different/dp/B09LCDMNFL/ref=sr_1_9?dib=eyJ2IjoiMSJ9.zNBSuu9ohZulGDufn6ndi7k68xSxLd4F9j9ADu1EFagAfEi0iNXwERcHNRTHY8OVDNP-oY1V7Z37FLspYopnjFOECp54E8g9ARE33zYuNjfrPW9-7PT7qI_gqsODxMD7RpA5-SWUxIY3Ye14z8T2P0py867Joj9ZQzdeGD0gy9j-6IVxixvNhmqoh3nWQUTEL6Pa_LkOkkrpnx8Jm6SaYN20nBe-GukX9HphuGTME8ecQO9WsaiHhqNffMj9rfUKsU9Ez-fIo88SiH_3GjO-unGQoupAxQts8K6y8P6b79Y.FQqSzfnQwX_jDQwCsrLPsL8oYT2os_GUDQHEQxt7Q8M&dib_tag=se&keywords=spoon&qid=1756913582&sr=8-9 , https://m.media-amazon.com/images/I/51WJX4fAueL._SX679_.jpg
spoon,"Mkay Inox 12 Pieces Stainless Steel Dinner Spoons Set for Home & Kitchen, 16 cm Long, for Dining Table, Dining Tableware Cutlery Set, Silver (Spoon-Set of 12)",Stainless Steel,0.3,12,https://www.amazon.in/12-Stainless-Kitchen-Tableware-Spoon-Set/dp/B0F4XSHB4M/ref=sr_1_10?dib=eyJ2IjoiMSJ9.zNBSuu9ohZulGDufn6ndi7k68xSxLd4F9j9ADu1EFagAfEi0iNXwERcHNRTHY8OVDNP-oY1V7Z37FLspYopnjFOECp54E8g9ARE33zYuNjfrPW9-7PT7qI_gqsODxMD7RpA5-SWUxIY3Ye14z8T2P0py867Joj9ZQzdeGD0gy9j-6IVxixvNhmqoh3nWQUTEL6Pa_LkOkkrpnx8Jm6SaYN20nBe-GukX9HphuGTME8ecQO9WsaiHhqNffMj9rfUKsU9Ez-fIo88SiH_3GjO-unGQoupAxQts8K6y8P6b79Y.FQqSzfnQwX_jDQwCsrLPsL8oYT2os_GUDQHEQxt7Q8M&dib_tag=se&keywords=spoon&qid=1756913582&sr=8-10 , https://m.media-amazon.com/images/I/41yJeyt623L._SX300_SY300_QL70_FMwebp_.jpg
mold,Prime Bakers and Moulders Mini Aluminum Tart Mould Cups Set of 24 Small Baking molds for Oven (Medium),Aluminium,0.4,1,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDI2MzkzMDU5ODg5ODUwOjE3NTY5MTM3OTE6c3BfYXRmOjMwMDU1NTY2OTA4NjgzMjo6MDo6&url=%2FPrime-Bakers-Moulders-Mini-Tart%2Fdp%2FB0F7FFRS2V%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.EV3a2DHsDZWACjXhn_QlE-OM11nEwIK9TPX4BITIJLeacJxz-7-Pwb8XDbp7vKIRLUX-cEdc3OMRARSi1jQ7M36b_qnyypSzkS8U4ysbQG1d3aVwKsvWnSRKs8pSXmZPHqBd34hGqbF3Ioxb8inuN2ux7nn4AI2uSE0SdkZBWP5_63Nv6Nfsm4fb9GVS2bm6Jcb5XJLtTAJSa0C8HG1DoCk-VS-0JBMpfhM4gadUQUaqc-gHc2XqfLqTNVjqjsZIrE0UeRvrkeA6ZvmcI7ub9WQELciEBxdfJ7zrdDcdU0M.qv-8SO_Mk8YRNDWmcvZY9dadxVKKC-G8CJjoqcc8jMc%26dib_tag%3Dse%26keywords%3Dmold%26qid%3D1756913791%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=4GJNjN5eXf&sp_cr=ZAZ , https://m.media-amazon.com/images/I/51oxyqgpKvL._SY300_SX300_QL70_FMwebp_.jpg
mold,"Amazon Brand - Solimo Silicone Soap Mould, Circle, Square, Oval and Heart Shape,Red, 15 Cm",Silicone,0.1,1,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDI2MzkzMDU5ODg5ODUwOjE3NTY5MTM3OTE6c3BfYXRmOjMwMDY4NTA4MzQxOTEzMjo6MDo6&url=%2FAmazon-Brand-Solimo-Silicone-Circle%2Fdp%2FB0C53H9N75%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.EV3a2DHsDZWACjXhn_QlE-OM11nEwIK9TPX4BITIJLeacJxz-7-Pwb8XDbp7vKIRLUX-cEdc3OMRARSi1jQ7M36b_qnyypSzkS8U4ysbQG1d3aVwKsvWnSRKs8pSXmZPHqBd34hGqbF3Ioxb8inuN2ux7nn4AI2uSE0SdkZBWP5_63Nv6Nfsm4fb9GVS2bm6Jcb5XJLtTAJSa0C8HG1DoCk-VS-0JBMpfhM4gadUQUaqc-gHc2XqfLqTNVjqjsZIrE0UeRvrkeA6ZvmcI7ub9WQELciEBxdfJ7zrdDcdU0M.qv-8SO_Mk8YRNDWmcvZY9dadxVKKC-G8CJjoqcc8jMc%26dib_tag%3Dse%26keywords%3Dmold%26qid%3D1756913791%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=hnch7V1p4k&sp_cr=ZAZ , https://m.media-amazon.com/images/I/41zrxeVAhyL._SY300_SX300_QL70_FMwebp_.jpg
mold,REDSKY Silicone Rectangular Mould | 6-Cavity | Purple | DIY Baking & Soap Making,Silicone,0.4,4,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDI2MzkzMDU5ODg5ODUwOjE3NTY5MTM3OTE6c3BfYXRmOjMwMDE1MzE0MDMyODEzMjo6MDo6&url=%2FSilicone-Cavity-Rectangular-Baking-Hand-Made%2Fdp%2FB0CL7GVGR9%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.EV3a2DHsDZWACjXhn_QlE-OM11nEwIK9TPX4BITIJLeacJxz-7-Pwb8XDbp7vKIRLUX-cEdc3OMRARSi1jQ7M36b_qnyypSzkS8U4ysbQG1d3aVwKsvWnSRKs8pSXmZPHqBd34hGqbF3Ioxb8inuN2ux7nn4AI2uSE0SdkZBWP5_63Nv6Nfsm4fb9GVS2bm6Jcb5XJLtTAJSa0C8HG1DoCk-VS-0JBMpfhM4gadUQUaqc-gHc2XqfLqTNVjqjsZIrE0UeRvrkeA6ZvmcI7ub9WQELciEBxdfJ7zrdDcdU0M.qv-8SO_Mk8YRNDWmcvZY9dadxVKKC-G8CJjoqcc8jMc%26dib_tag%3Dse%26keywords%3Dmold%26qid%3D1756913791%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=aAfoHfbPmn&sp_cr=ZAZ ,https://m.media-amazon.com/images/I/41gAM0Zwo1L._SX300_SY300_QL70_FMwebp_.jpg
mold,"Reyal Plastic 10"" X 10"" 225 KHANNA Chequred Tile Mould(H : 25mm) Interlocking Paver block Mould outdoor paving chequred tiles mould (10)",Plastic,0.3,1,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDI2MzkzMDU5ODg5ODUwOjE3NTY5MTM3OTE6c3BfYXRmOjMwMDY3MjIzNzg4MTczMjo6MDo6&url=%2FReyal-Plastic-KHANNA-Chequred-Mould%2Fdp%2FB0DJ8PWLS3%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.EV3a2DHsDZWACjXhn_QlE-OM11nEwIK9TPX4BITIJLeacJxz-7-Pwb8XDbp7vKIRLUX-cEdc3OMRARSi1jQ7M36b_qnyypSzkS8U4ysbQG1d3aVwKsvWnSRKs8pSXmZPHqBd34hGqbF3Ioxb8inuN2ux7nn4AI2uSE0SdkZBWP5_63Nv6Nfsm4fb9GVS2bm6Jcb5XJLtTAJSa0C8HG1DoCk-VS-0JBMpfhM4gadUQUaqc-gHc2XqfLqTNVjqjsZIrE0UeRvrkeA6ZvmcI7ub9WQELciEBxdfJ7zrdDcdU0M.qv-8SO_Mk8YRNDWmcvZY9dadxVKKC-G8CJjoqcc8jMc%26dib_tag%3Dse%26keywords%3Dmold%26qid%3D1756913791%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=OJoQ4l8yqo&sp_cr=ZAZ , https://m.media-amazon.com/images/I/410OfMS3mzL._SY445_SX342_QL70_FMwebp_.jpg
mold,Clazkit Flexible Silicone Honeycomb 37 Cavity Ice Cube Tray for Freezer Moulds Small Cubes Whiskey Fridge Bar Soft Ice Cube Tray -Pack of 1,Silicone,0.1,1,https://www.amazon.in/Clazkit-Flexible-Silicone-Honeycomb-Multicolor/dp/B0BVQJGGY1/ref=sr_1_5?dib=eyJ2IjoiMSJ9.EV3a2DHsDZWACjXhn_QlE-OM11nEwIK9TPX4BITIJLeacJxz-7-Pwb8XDbp7vKIRLUX-cEdc3OMRARSi1jQ7M36b_qnyypSzkS8U4ysbQG1d3aVwKsvWnSRKs8pSXmZPHqBd34hGqbF3Ioxb8inuN2ux7nn4AI2uSE0SdkZBWP5_63Nv6Nfsm4fb9GVS2bm6Jcb5XJLtTAJSa0C8HG1DoCk-VS-0JBMpfhM4gadUQUaqc-gHc2XqfLqTNVjqjsZIrE0UeRvrkeA6ZvmcI7ub9WQELciEBxdfJ7zrdDcdU0M.qv-8SO_Mk8YRNDWmcvZY9dadxVKKC-G8CJjoqcc8jMc&dib_tag=se&keywords=mold&qid=1756913791&sr=8-5 , https://m.media-amazon.com/images/I/51zd-inyAwL._SX300_SY300_QL70_FMwebp_.jpg
mold,"Clazkit Silicone Circle, Square, Oval and Heart Shape Soap Cake Making Mould, Multicolor",Silicone,0.07,1,https://www.amazon.in/Clazkit-Silicone-Circle-Square-Multicolor/dp/B07XT16YH4/ref=sr_1_6?dib=eyJ2IjoiMSJ9.EV3a2DHsDZWACjXhn_QlE-OM11nEwIK9TPX4BITIJLeacJxz-7-Pwb8XDbp7vKIRLUX-cEdc3OMRARSi1jQ7M36b_qnyypSzkS8U4ysbQG1d3aVwKsvWnSRKs8pSXmZPHqBd34hGqbF3Ioxb8inuN2ux7nn4AI2uSE0SdkZBWP5_63Nv6Nfsm4fb9GVS2bm6Jcb5XJLtTAJSa0C8HG1DoCk-VS-0JBMpfhM4gadUQUaqc-gHc2XqfLqTNVjqjsZIrE0UeRvrkeA6ZvmcI7ub9WQELciEBxdfJ7zrdDcdU0M.qv-8SO_Mk8YRNDWmcvZY9dadxVKKC-G8CJjoqcc8jMc&dib_tag=se&keywords=mold&qid=1756913791&sr=8-6 , https://m.media-amazon.com/images/I/4197P1IvlnL._SX300_SY300_QL70_FMwebp_.jpg
mold,"Clazkit Silicone Flower Shape Chocolate Mould (Brown, 10-inch)",Silicone,0.05,1,https://www.amazon.in/Clazkit-Silicone-Flower-Chocolate-10-inch/dp/B07XSZJR9T/ref=sr_1_7?dib=eyJ2IjoiMSJ9.EV3a2DHsDZWACjXhn_QlE-OM11nEwIK9TPX4BITIJLeacJxz-7-Pwb8XDbp7vKIRLUX-cEdc3OMRARSi1jQ7M36b_qnyypSzkS8U4ysbQG1d3aVwKsvWnSRKs8pSXmZPHqBd34hGqbF3Ioxb8inuN2ux7nn4AI2uSE0SdkZBWP5_63Nv6Nfsm4fb9GVS2bm6Jcb5XJLtTAJSa0C8HG1DoCk-VS-0JBMpfhM4gadUQUaqc-gHc2XqfLqTNVjqjsZIrE0UeRvrkeA6ZvmcI7ub9WQELciEBxdfJ7zrdDcdU0M.qv-8SO_Mk8YRNDWmcvZY9dadxVKKC-G8CJjoqcc8jMc&dib_tag=se&keywords=mold&qid=1756913791&sr=8-7 , https://m.media-amazon.com/images/I/61ea0yVYl7L._SX679_.jpg
mold,"Radiance Store 13 Cavity Daisy Flower Clay Molds for Jewelry Making, Cake Decoration, Silicone Flower Molds for Earrings Candy Cake Candle Wax",Silicone,0.25,1,https://www.amazon.in/Radiance-Jewelry-Decoration-Silicone-Earrings/dp/B0F63BSH8D/ref=sr_1_8?dib=eyJ2IjoiMSJ9.EV3a2DHsDZWACjXhn_QlE-OM11nEwIK9TPX4BITIJLeacJxz-7-Pwb8XDbp7vKIRLUX-cEdc3OMRARSi1jQ7M36b_qnyypSzkS8U4ysbQG1d3aVwKsvWnSRKs8pSXmZPHqBd34hGqbF3Ioxb8inuN2ux7nn4AI2uSE0SdkZBWP5_63Nv6Nfsm4fb9GVS2bm6Jcb5XJLtTAJSa0C8HG1DoCk-VS-0JBMpfhM4gadUQUaqc-gHc2XqfLqTNVjqjsZIrE0UeRvrkeA6ZvmcI7ub9WQELciEBxdfJ7zrdDcdU0M.qv-8SO_Mk8YRNDWmcvZY9dadxVKKC-G8CJjoqcc8jMc&dib_tag=se&keywords=mold&qid=1756913791&sr=8-8 , https://m.media-amazon.com/images/I/51sMU6EF3WL._SY300_SX300_QL70_FMwebp_.jpg
mold,"Stewit Chocolate Silicon Mould, Random Design Chocolate Mould for Baking Making Chocolates (Mix Mould)",Silicone,0.15,1,https://www.amazon.in/Stewit-Chocolate-Silicon-Random-Chocolates/dp/B0DPVBM96N/ref=sr_1_9?dib=eyJ2IjoiMSJ9.EV3a2DHsDZWACjXhn_QlE-OM11nEwIK9TPX4BITIJLeacJxz-7-Pwb8XDbp7vKIRLUX-cEdc3OMRARSi1jQ7M36b_qnyypSzkS8U4ysbQG1d3aVwKsvWnSRKs8pSXmZPHqBd34hGqbF3Ioxb8inuN2ux7nn4AI2uSE0SdkZBWP5_63Nv6Nfsm4fb9GVS2bm6Jcb5XJLtTAJSa0C8HG1DoCk-VS-0JBMpfhM4gadUQUaqc-gHc2XqfLqTNVjqjsZIrE0UeRvrkeA6ZvmcI7ub9WQELciEBxdfJ7zrdDcdU0M.qv-8SO_Mk8YRNDWmcvZY9dadxVKKC-G8CJjoqcc8jMc&dib_tag=se&keywords=mold&qid=1756913791&sr=8-9 , https://m.media-amazon.com/images/I/41TYGpAxKxL._SX300_SY300_QL70_FMwebp_.jpg
mold,"53 Arts Resin Silicone Tray Mold for DIY Handmade Plate (Oval Capsule Tray Mould, 20.5 X 10.3 cm) - White",Silicone,0.05,1,https://www.amazon.in/Resin-Silicone-Handmade-Plate-Capsule/dp/B09L77HYZB/ref=sr_1_10?dib=eyJ2IjoiMSJ9.EV3a2DHsDZWACjXhn_QlE-OM11nEwIK9TPX4BITIJLeacJxz-7-Pwb8XDbp7vKIRLUX-cEdc3OMRARSi1jQ7M36b_qnyypSzkS8U4ysbQG1d3aVwKsvWnSRKs8pSXmZPHqBd34hGqbF3Ioxb8inuN2ux7nn4AI2uSE0SdkZBWP5_63Nv6Nfsm4fb9GVS2bm6Jcb5XJLtTAJSa0C8HG1DoCk-VS-0JBMpfhM4gadUQUaqc-gHc2XqfLqTNVjqjsZIrE0UeRvrkeA6ZvmcI7ub9WQELciEBxdfJ7zrdDcdU0M.qv-8SO_Mk8YRNDWmcvZY9dadxVKKC-G8CJjoqcc8jMc&dib_tag=se&keywords=mold&qid=1756913791&sr=8-10 , https://m.media-amazon.com/images/I/419yB28gUhL._SY445_SX342_QL70_FMwebp_.jpg
